,Track Name,,Artist Name(s)
,"Soldier, Poet, King",,The Oh Hellos
,Still Loving You,,Scorpions
,Don't Cry (Original),,Guns N' Roses
,Always Somewhere,,Scorpions
,Wind Of Change,,Scorpions
,Send Me An Angel,,Scorpions
,Nothing Else Matters,,Metallica
,Heaven,,Bryan Adams
,Sweet Child O' Mine,,Guns N' Roses
,Have You Ever Seen The Rain,,Creedence Clearwater Revival
,Everybody Hurts,,R.E.M.
,Imagine,,John Lennon Experience
,Spending My Time,,Roxette
,Slipping Through My Fingers,,ABBA
,Runaway,,AURORA
,The Moon Will Sing,,The Crane Wives
,Bridge Over Troubled Water,,Simon & Garfunkel
,No Surprises,,Radiohead
,The Temple Of The King,,Rainbow
,Follow Your Heart,,Scorpions
,Dreams,,The Cranberries
,Piano Man,,Billy Joel
,Girls Just Want to Have Fun,,Cyndi Lauper
,Vienna,,Billy Joel
,Wasted On You,,Evanescence
,There Is a Light That Never Goes Out - 2011 Remaster,,The Smiths
,Beautiful Boy (Darling Boy) - Remastered 2010,,John Lennon
,Your Song,,Elton John
,Take My Breath Away - Love Theme from Top Gun,,Berlin
,Iris,,The Goo Goo Dolls
,Wherever You Will Go,,The Calling
,Wonderwall - Remastered,,Oasis
,Stop Crying Your Heart Out,,Oasis
,Somewhere Only We Know,,Keane
,Chasing Cars,,Snow Patrol
,I Don't Want to Miss a Thing - From Armageddon Soundtrack,,Aerosmith
,Hero (feat. Josey Scott),,"Chad Kroeger,Josey Scott"
,It Hurt So Bad,,Susan Tedeschi
,Knockin' On Heaven's Door,,Guns N' Roses
,One Of Us,,Joan Osborne
,Time in a Bottle,,Jim Croce
,Tears in Heaven,,Eric Clapton
,Blackbird - Remastered 2009,,The Beatles
,The Reason,,Hoobastank
,California Dreamin' - Single Version,,The Mamas & The Papas
,Kiss Me,,Sixpence None The Richer
,Every Breath You Take,,The Police
,Dust in the Wind,,Kansas
,Hey Jude - 2015 Mix,,The Beatles
,Bitter Sweet Symphony - Remastered 2016,,The Verve
,Bohemian Rhapsody - Remastered 2011,,Queen
,Livin' On A Prayer,,Bon Jovi
,Somebody To Love - The Voice Performance,,Jordan Smith
,Always,,Bon Jovi
,Don't Let Me Down - Remastered 2009,,The Beatles
,Total Eclipse of the Heart,,Bonnie Tyler
,Sweet Niobrara,,The Wildwoods
,Making Love Out of Nothing at All,,Air Supply
,"Take Me Home, Country Roads - Original Version",,John Denver
,Everybody's Changing,,Keane
,Starlight,,Muse
,Ordinary World,,Duran Duran
,It Must Have Been Love - From the Film Pretty Woman,,Roxette
,Numb,,Linkin Park
,In My Life - Remastered 2009,,The Beatles
,Don't Stop Believin' (2022 Remaster),,Journey
,Bring Me To Life,,Evanescence
,In the End,,Linkin Park
,Don't Look Back in Anger - Remastered,,Oasis
,Still Loving You,,Scorpions
,Everybody Wants To Rule The World,,Tears For Fears
,I Still Haven't Found What I'm Looking For,,U2
,Lonely Day,,System Of A Down
,"Leaving, On a Jet Plane - Greatest Hits Version",,John Denver
,Somebody To Love - Remastered 2011,,Queen
,Purple Rain,,Prince
,Listen To Your Heart,,Roxette
,November Rain,,Guns N' Roses
,Lonely Is the Night,,Air Supply
